character,series,wishlist
Yukako Iride,The Ones Within,0
Kamui,The Third: The Girl with the Blue Eye,0
Mila Lemercier,The World Is Still Beautiful,0
Nanao Tachibana,The Testament of Sister New Devil BURST,0
Kyouya Takamachi,Triangle Heart ~Sweet Songs Forever~,0
Male Fan,Triangle Heart ~Sweet Songs Forever~,0
Kaname Makiishi,Triage X,0
Akiomi Suruga,Try Knights,0
Yung-Fa Tou,Triangle Heart ~Sweet Songs Forever~,0
Isami Kondou,Touken Ranbu: Hanamaru,0
Daisuke Ohata,Try Knights,0
Otegine,Touken Ranbu: Hanamaru,0
Ellis McGaren,Triangle Heart ~Sweet Songs Forever~,0
Akira Kariya,Try Knights,0
Soya Rando,Try Knights,0
Rinto Arimura,Try Knights,0
Setsuya Katashiro,Try Knights,0
Kai,Tower of Druaga: the Aegis of Uruk,0
Keita Oguma,Try Knights,0
Yukari Itsumuka,Re:Stage! Dream Days,0
Eiko Mihirogi,Saki: The Nationals,0
Kazumi Zenno,Saki: The Nationals,0
Suzuki,Revolutionary Girl Utena,0
Tamako,RIN-NE,0
Manami Kuroha,Rental Magica,0
Glo Xinia,REBORN!,1
Ichigo Sasano,Saki: The Nationals,0
Megan Davin,Saki: The Nationals,0
Kurumi Kakura,Saki: The Nationals,0
