character,series,wishlist
Choe Myeonghwa,Saki: The Nationals,0
Hao Huiyu,Saki: The Nationals,0
Hanako-san,RIN-NE,0
Suzu Minami,RIN-NE,0
Mikuru Bandou,Re:Stage! Dream Days,0
Shizue,Re:Stage! Dream Days,1
Nagisa Himura,Re:Stage! Dream Days,0
Kuroha Shirokita,Re:Stage! Dream Days,0
Ruka Ichijou,Re:Stage! Dream Days,0
Ray Kasugano,Ray the Animation,0
Kanade Hokaze,Re:Stage! Dream Days,0
Kumahachi,Ranma ½,0
Amaha Shiratomi,Re:Stage! Dream Days,0
Koichi,Ray the Animation,0
Blue Bead,Ray the Animation,0
Rie,Ray the Animation,0
Take,Ranma ½,0
Li'l Moo,Ranma ½,0
Hana,Ray the Animation,0
Lung-Lung,Ranma ½,0
Kotaro,Ranma ½,0
Akari Haeno,Re:Stage! Dream Days,0
Kogane Musashi,Ranma ½,0
Teppei's Mother,Princess Lover!,0
Hiroshi,Ranma ½,0
Prism Train Conductor,PriPara Movie: Minna Atsumare! Prism Tours,0
Shiki Douzono,Prince of Stride: Alternative,0
Amamiya,PriPara,0
Edmund,Radiant,0
Honey,Ranma ½,0
Kazutoshi Gotou,Psychic Detective Yakumo,0
Kimiyasu Daitokuji,Ranma ½,0
Cho,Ranma ½,0
Dracula,Ranma ½,0
Amelia,Quiz Magic Academy,0
Aonori Goblin,Ranma ½,0
Harumaki,Ranma ½,0
Mo Jiaxing,Quanzhi Fashi,0
Kaede Okumura,Prince of Stride: Alternative,0
Miss Melba's Father,Radiant,0
Marina,Rainy Cocoa: Side G!!,0
Kanon,PriPara 3,0
Hraesvelgr Sakiyo,Project Scard: Praeter no Kizu,0
Keith White,Project ARMS: The 2nd Chapter,0
Koga,PriPara,0
Nick,Radiant,0
Mic,Puri Puri Chii-chan!!,0
Megumi Yoshikawa,Princess Princess,0
Issei Nishikiori,Please Save My Earth,0
Hijiri Himuro,Pretty Rhythm: Rainbow Live,0
Ito Suzuno,Pretty Rhythm: Rainbow Live,0
Haruhiko Kazama,Please Save My Earth,0
Mikuro Yakushimaru,Please Save My Earth,1
Satoru,Pet,0
Herbert Muller,Phi Brain: Kami no Puzzle,0
Kazuto Tamura,Please Save My Earth,0
Uchida,Penguin Highway,0
Takashi Ayanokouji,Pita-Ten,0
Harumi Kumashiro,Planet With,0
J. Covey,Pop Team Epic,0
Aoi Shima,Prince of Stride: Alternative,0
Hokuto Yakushimaru,Please Save My Earth,0
Hadred,Phantasy Star Online 2: Episode Oracle,0
Takeda,Ping Pong Club,0
Suuko,Million Doll,0
Sonoe Juujou,O Maidens in Your Savage Season,0
Yuu's Mother,Merc StoriA: The Apathetic Boy and the Girl in a Bottle,0
Domoto,Megalo Box,0
Goskino,Megalo Box,0
Aya Orikata,Otome Youkai Zakuro,0
Kokkuri,Otome Youkai Zakuro,0
Yuki,Midnight occult civil servants,0
Nikora Nanami,Mermaid Melody: Pichi Pichi Pitch,0
Ghetto Hachiya,Megalo Box,0
Yoshiko Ueno,Otaku no Video,0
Seimei Abe,Onmyouji: Youen Emaki,0
Miyagi,Megalo Box,0
Hiroshi Kuzumi,Okamikakushi: Masque of the Wolf,0
Haruhito Sugiyama,Mewkledreamy,0
Chinatsu,Miracle Train,0
Riken Yoshinokazura,Otome Youkai Zakuro Picture Drama,0
Otome Tsuzuki,Mayoi Neko Overrun! Specials,0
Alma,Mecha-Ude,0
Toudou,Mecha-Ude,0
Mysterious Boy,Merc StoriA: The Apathetic Boy and the Girl in a Bottle,0
Neo Kashima,Memories Off 3.5,0
Honoo,Master of Mosquiton,0
Yuu's Father,Merc StoriA: The Apathetic Boy and the Girl in a Bottle,0
Taikan Yokoyama,Meiji Tokyo Renka,0
Akane Kanoichi,Midnight occult civil servants,0
Makiyo Shingyouji,Otome wa Boku ni Koishiteru: Futari no Elder,0
Ryuu-san,Million Doll,0
Tomonori-kun,Marginal#4: Kiss kara Tsukuru Big Bang,0
Sylvain Clark,Marginal Prince,0
Yuuta,Marginal Prince,0
Ivy,Marginal Prince,0
Henri-Hugues de Saint Germain,Marginal Prince,0
Yuzuka Hanami,Mahou Shoujo Nante Mouiidesukara.,0
Arika Anarchia Entheofushia,Mahou Sensei Negima! Anime Final,0
Marta,Marginal Prince,0
Demitra Midia,Maken-ki!,0
Minawa Andou,Mahoromatic 2,0
Ikazuchi,Maken-ki!,0
Urara,Mahou Shoujo? Naria Girls,0
Yan Min,Maken-ki!,0
Sayumi Morisaki,Maburaho,0
Bore Hitome,Love Kome: We Love Rice,0
Hikari Hino,Love Kome: We Love Rice,0
Oidemai,Love Kome: We Love Rice 2nd Season,0
Elenoa Florian,Magical Girl Lyrical Nanoha: Reflection,0
Yuri Eberwein,Magical Girl Lyrical Nanoha: Reflection,0
Stern,Magical Girl Lyrical Nanoha: Reflection,0
Iris,Magical Girl Lyrical Nanoha: Reflection,0
Sugurin,Love Stage!!,0
Kyrie Florian,Magical Girl Lyrical Nanoha: Reflection,0
Ann,Love Kome: We Love Rice,0
David Bannings,Magical Girl Lyrical Nanoha: Reflection,0
Myoue's Girlfriend,Kyousougiga,0
Ruby,Last Period: the journey to the end of the despair,0
Taliktan,Log Horizon 2,0
Momen Sanada,Lime-iro Senkitan,0
Kayu,Log Horizon,0
Sakura Tsubaki,"Kyou, Koi wo Hajimemasu",0
Iselus El-Arde Cowen,Log Horizon 2,0
Akira Harabuki,Lord of Vermilion: The Crimson King,0
Saki Takamiya,Long Riders! Recap,0
Stroganopp,Log Horizon,0
Kinu Fukushima,Lime-iro Senkitan,0
Yuri Shiraki,Lord of Vermilion: The Crimson King,0
Asa Katou,Lime-iro Senkitan,0
Upashi,Log Horizon 2,0
Encartanto,Log Horizon 2,0
Nakalnard,Log Horizon 2,0
Emi Ichikawa,Love Hina,0
Elias Hackblade,Log Horizon 2,0
Pololocca,Log Horizon,0
Tsubaki Hibino,"Kyou, Koi wo Hajimemasu",0
Youji Kudou,Knight Hunters,0
Tomoomi Hasui,Kuro to Kin no Akanai Kagi.,0
Sei,Koihime Musou,0
Kotori Makino,Koe de Oshigoto! The Animation,0
Arashi Mutou,Kurage no Shokudou,0
Yayoi Aoyagi,Koe de Oshigoto! The Animation,0
Chitose Mihara,Kobato.,0
Omi Tsukiyono,Knight Hunters,0
Wakaba,Kono Oto Tomare! 2nd Season,0
Ikuto Sonomura,Kuro to Kin no Akanai Kagi.,0
Teika Midarezaki,Kyoran Kazoku Nikki,0
Kyoshiro Ayanokoji,Kyoshiro to Towa no Sora,1
Emo's Grandmother,Kiratto Pri-chan,0
Junko Aoba,Kiratto Pri-chan,0
Arashi Amamiya,Kirarin Revolution,0
Tamaki Kurihara,Kiratto Pri-chan,0
Fubuki Toudou,Kirarin Revolution,0
Mari,Kiratto Pri-chan,0
Rin Sensui,Kiratto Pri-chan,0
Chidori Takatsukasa,Kirepapa,0
Ayumi Hanakura,Kiratto Pri-chan,0
Ru Asuka,Kiratto Pri-chan,0
Takaya Saegusa,Kiratto Pri-chan,0
Ruka Kinjo,Kiratto Pri-chan,0
Nijou Kakeru,Kirepapa,0
Sakura's Mother,Kino's Journey,0
Kenzaburo Aoba,Kiratto Pri-chan,0
Minato Takahashi,King of Prism by Pretty Rhythm,0
Yuumi Hoshino,Kimikiss Pure Rouge,0
Mizuki Okamoto,Keijo!!!!!!!!,0
Minoru Konparu,Kenka Banchou Otome: Girl Beats Boys,0
Spiel,Kemono to Chat,0
Haruo Sakaguchi,Kenka Banchou Otome: Girl Beats Boys,0
Shouta Matsudaira,Kenka Banchou Otome: Girl Beats Boys,0
Tora Tanaka,Kenka Banchou Otome: Girl Beats Boys,0
Ayuki Mari,Kashimashi: Girl Meets Girl,0
Takayuki's Brother,Kenka Banchou Otome: Girl Beats Boys,0
Masayasu Yokota,Kengan Ashura,0
Mikaidou,Kemono to Chat,0
Lapis,Kaze no Stigma,0
Fujio Itoh,Kachou no Koi,0
Dr. Password,K.O. Beast,0
Rika Karasuma,Kamichama Karin,0
Timbavati,Karakuri Circus,0
Masaomi Dewa,K-Project,0
Wanda,Kamiwaza Wanda,0
Kaguya Shijyuin,Kandagawa Jet Girls,0
Isuca,Isuca,0
Kazusa Kujyou,Kamichama Karin,0
Minori Mitama,Kanokon,0
Diamantina,Karakuri Circus,0
C-Seagull,K.O. Beast,0
Souta Mishina,K-Project,1
Daiki Fuse,K-Project,0
Gryphon,Karakuri Circus,0
Bors Elder,Is It Wrong to Try to Pick Up Girls in a Dungeon?,0
Hojo,InuYasha,0
Cooky,Idol Time PriPara,1
Michiru Kouda,Idol Time PriPara,0
Megumi's Sister,IDOLiSH7,0
Pitsuji,Idol Time PriPara,0
Lin Gaotai,Ikebukuro West Gate Park,0
Ute,"If It's for My Daughter, I'd Even Defeat a Demon Lord",1
Megane Boy,Idol Time PriPara,0
Reiko Ryuutaki,Idol Time PriPara,0
Yuujirou Kouda,Inu X Boku Secret Service,0
Mizuki,"In the Other World, Ghost Groups Are Everything!",0
Charlotte's Mother,Infinite Stratos 2,0
Koji Huyukawa,ID: INVADED,0
Natsuki Hoshina,Idol Incidents,0
Karen Kisuragi,Hundred,0
Mafuyu Munetani,High School Fleet,0
Shintarou Enoki,Hinomaru Sumo,0
Suguru Oomi,Hiiro no Kakera: The Tamayori Princess Saga,0
Misaki Sawakiguchi,Hyouka,0
Noriko Shimizu,Hyouka,0
Ragres,Hybrid x Heart Magias Academy Ataraxia,0
Shun Kariya,Hinomaru Sumo,0
Ryuuji Yonemura,Hinomaru Sumo,0
Kasha,Hozuki's Coolheadedness 2nd Season,0
Jin Yomoda,Hinomaru Sumo,0
Zest Bernard,High School Prodigies Have It Easy Even in Another World!,0
Rino Fujisaki,Hina Logi: From Luck & Logic,0
Norihiro Saenoyama,Hinomaru Sumo,0
Melinda,High School Prodigies Have It Easy Even in Another World!,1
Mayumi Uchida,High School Fleet,0
Emerada,High School Prodigies Have It Easy Even in Another World!,0
Veronica Ananko,Hina Logi: From Luck & Logic,0
Morizawa,High School DxD,0
Dr. Kanie,Hinomaru Sumo,0
Tokio Shunkai,Hinomaru Sumo,0
Ryou Aizawa,Hinomaru Sumo,0
Otaku Artist,Hozuki's Coolheadedness OVA,0
Anko,Hiragana Danshi,1
Gennosuke Araki,Hinomaru Sumo,0
Nana Uehara,How Heavy Are the Dumbbells You Lift?,0
Akane Motomiya,Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,0
Shouda Shouko,Happy Seven,0
Haruta Kamijou,Haruchika – Haruta & Chika,0
Seisai Taki,Hidamari no Ki,0
Minamoto no Yoritada,Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko,0
Sumire Hasukawa,Here Is Greenwood,0
Tokuda Nene,Happy Seven,0
Kazuhiro Hasukawa,Here Is Greenwood,0
Sakogami Amano,Happy Seven,0
Misako,Here Is Greenwood,0
Tenma Koizumi,Here Is Greenwood,0
Maren Sei,Haruchika – Haruta & Chika,0
Nagisa Suzuki,Two Car,0
Kazuki,Tsubasa Reservoir Chronicle: Tokyo Revelations,0
Syunpei,Tsukiuta. The Animation,0
Statue of the God,Tsubasa Reservoir Chronicle,0
Kuroda,Tsukiuta. The Animation,0
Homeroom Teacher,Tsuritama,0
Charme,Tsubasa Reservoir Chronicle,0
Muto,Tsurune,0
Kanade Tsukishiro,Tsukiuta. The Animation,0
Minato's Mother,Tsurune,0
Souseki,Tsubasa Reservoir Chronicle 2nd Season,0
Hatsune Wada,Two Car,0
Ren Takigawa,Tsurune,0
Sorata,Tsubasa Reservoir Chronicle,0
Mystic Whale,Tsubasa Reservoir Chronicle,0
Kanae Kawamata,Two Car,0
Mutsuki Shimazu,Two Car,0
Gon Noda,Uchitama?! Have you seen my Tama?,0
Kawaguchi,Vampire Princess Miyu TV,0
Monroe,Valkyrie Drive: Mermaid,0
Rie Kaishou,Un-Go,0
La Tremoille,Ulysses: Jeanne d'Arc and the Alchemist Knight,0
Kuro Mikawa,Uchitama?! Have you seen my Tama?,0
Tamae Kuribayashi,Two Car,0
Shaba Gyuurei,UQ Holder!,0
Shiina,Vampire Princess Miyu TV,0
Miyu's Dad,Vampire Princess Miyu,1
Director,Uta no Prince-sama: Maji Love 2000%,0
Wonderful,Vampire Holmes,0
Matsukaze,Vampire Princess Miyu TV,0
Kai,Uchitama?! Have you seen my Tama?,0
Kayo,Vampire Princess Miyu TV,0
Moru,Vampire Princess Miyu TV,0
Hyouko Yundou,Valkyrie Drive: Mermaid,0
Nekogami,We Rent Tsukumogami,0
Miyako Yamashina,"We, Without Wings - Under the Innocent Sky",0
Shuusuke Chitose,"We, Without Wings - Under the Innocent Sky",0
Bertille Althusser,Walkure Romanze,0
Hayato Narita,"We, Without Wings - Under the Innocent Sky",0
Misaki Hayashida,"We, Without Wings - Under the Innocent Sky",0
Sorol,Wandering Witch: The Journey of Elaina,0
Kirschwasser,Xenosaga,0
Yuri,xxxHOLiC,0
Bat,Web Ghosts PiPoPa,0
Jyubei,Yashahime: Princess Half-Demon,0
Yuto Kigai,X TV,0
Hu Shi,Voice of Fox,0
Yukari Kashima,Vampire Princess Miyu TV,0
Rinka Himeji,Yankee-kun na Yamada-kun to Megane-chan to Majo,0
Takashi Haneda,"We, Without Wings - Under the Innocent Sky",0
Takuboku Ishikawa,Woodpecker Detective's Office,0
Podo,Working Buddies! No 2!,0
Ryunosuke Matsuhita,You and Me.,0
Rin,xxxHOLiC,0
Takenaka,World Break: Aria of Curse for a Holy Swordsman,0
Lin Ruijia,Voice of Fox,0
Christina Hayden,Wise Man's Grandchild,0
Hammer,Xenosaga,1
Wilhelm,Xenosaga,0
Grantia,YU-NO: A Girl Who Chants Love at the Bound of This World,0
Mary Godwin,Xenosaga,0
Azuma,Yowamushi Pedal: New Generation,0
Aya Tachibana,Yowamushi Pedal,0
Fujiwara,Yowamushi Pedal: New Generation,0
Kouzou Ryuuzouji,YU-NO: A Girl Who Chants Love at the Bound of This World,0
Hirata,Yowamushi Pedal: New Generation,0
Mr. Pierre,Yowamushi Pedal,0
Gorizo,Yowamushi Pedal: New Generation,0
Ruriko Kaneko,You're Under Arrest! The Movie,0
Akina's Grandfather,Yozakura Quartet,0
Phantom Daughter,Zettai Karen Children,0
Natsuko Tokiwa,Zettai Karen Children,0
Sumika Izumono,Yurikuma Arashi,0
Maze Landsborough,Yumekui Merry,1
Alexander,Z/X: Ignition,0
Guricho,Yumekui Merry,0
Yoshida,Yumekui Merry,0
Zonne,Z/X: Code Reunion,0
Nao Horie,Yumekui Merry,0
Kuki Tomoya,Happy Seven,0
Kitayama Tamon,Happy Seven,0
Kitayama Kuan,Happy Seven,0
Masuko Mimi,Happy Seven,0
Nozomi's Coach,Hanebado!,0
Kotobuki Nami,Happy Seven,0
Ayako Kimura,Handsome Girl,0
Haruhi Kamisaka,Happiness!,0
Coach Watari,Hanebado!,0
Kokuanten,Happy Seven,0
Kitaro Izumi,Hanebado!,0
Hiroshi Miyanomori,"Hanayaka Nari, Waga Ichizoku",0
Satomi,Hanebado!,0
Senhime,Hakuouki: Demon of the Fleeting Blossom,0
Kana,Hanada Shounen-shi,0
Noro,Hakkenden: Eight Dogs of the East 2,0
Kon,Hakkenden: Eight Dogs of the East 2,0
Keiko Sano,Gundam Build Fighters Try,0
Menkui,Ghastly Prince Enma Burning Up,0
Sudo,Gleipnir,0
Arpeggio El Lalena,GATE (2016),0
Masato Kaibara,Ghost Hound,0
Carl Rosenthal,Hanasakeru Seishounen,0
Regulus,Goulart Knights: Evoked the Beginning White,0
Gundam Tertium,Gundam Build Divers Re:RISE,0
Naoko Kuroda,Ghost Hunt,0
Mio Miyamoto,Gatchaman Crowds,0
Toa,Gal-gaku.: Hijiri Girls Square Gakuin,0
Manabi,Gakuen Utopia Manabi Straight!,0
Truth,Fushigiboshi no Futagohime,0
Hanako Mikado,Future Card Buddyfight,0
Niboshi,Fushigi Mahou Fun Fun Pharmacy,0
Aura,Fushigiboshi no Futagohime,0
Kanata Ouzora,Future Card Buddyfight X,0
Nisei Nitsuke,Future Card Buddyfight,0
Seinoshin Aizawa,Fuyu no Semi,0
Tio,Fushigiboshi no Futagohime,0
Kuwahara,Full Moon wo Sagashite,0
Hazuki Kouyama,Full Moon wo Sagashite,0
Sameuratarou,Folktales from Japan 2nd Season,0
Hikaru Unita,Free! Dive to the Future,0
Mayumi Hashimoto,Full Moon wo Sagashite,0
Kanbe Sayuri,Fugou Keiji: Balance:Unlimited,0
Isana Kiryuu,Free! Dive to the Future,0
Suzu,Fire Tripper,0
Risa,Full Moon wo Sagashite,0
Donato Gotouda,Food Wars! Shokugeki no Souma,0
Yuma Shimazu,Full Moon wo Sagashite,0
Tonkichi,FLCL: Progressive,0
Jinko Sasajima,Fastest Finger First,0
Kouhei Takasu,Full Moon wo Sagashite,0
Jim Franklin,Full Moon wo Sagashite,0
A. S.,Fantasista Doll,0
Old Gentleman,Full Moon wo Sagashite,0
Riko Ebisawa,Food Wars! The Third Plate: Totsuki Train Arc,0
Kiyoshi Godabayashi,Food Wars! Shokugeki no Souma,0
Taro Yoshida,Fancy Lala,0
Yuusei Otoishi,Dynamic Chord,0
Akie Kojima,Famicom Detective Club: The Girl Who Stands Behind,0
Ichiro Shinohara,Fancy Lala,0
Hiroya Aikawa,Fancy Lala,0
Victor,Elsword,0
Tsumugi Momose,Dynamic Chord,0
Tatsuo Sagamihara,Dynamic Chord,0
Bikky,Fake,0
Chiya Suzuno,Dynamic Chord,0
Shinomune Sumiya,Dynamic Chord,0
Itsuki Katagiri,Dream Festival!,0
Haruto Mikami,Dream Festival!,0
Jean Casoni,Dog Days,0
Eiji Katsuragi,Dream Festival! R,0
Yuzuru Sawamura,Dream Festival!,0
Yeti,Dragon Goes House-Hunting,0
Ikka Saotome,Dream Festival! R,0
Akiomi Inamasu,Dream Festival! R,0
Itsuki's Mother,Dream Festival!,0
Itsuki's Sister,Dream Festival!,0
Aki Kashii,Dynamic Chord,0
Lillia,Don't Call Us A JUNK GAME!,0
Junya's Sister,Dream Festival!,0
Hasim,Durarara!!,0
Sharu,Dog Days Recap,0
Eijirou Sharaku,Durarara!! X2,0
Ryo Tachibana,Dream Festival! R,0
Sphinx Green Hill,Dimension High School,0
Sphinx Paramesos,Dimension High School,0
Sphinx Dictis,Dimension High School,0
Sphinx Dactila,Dimension High School,0
Sphinx Anticheiras,Dimension High School,0
Junpei Shiroyama,Dimension High School,0
Suzaku,Devil Survivor 2: The Animation,0
Parasimon,Digimon Tamers: Runaway Locomon,0
Enma,Demon Prince Enma,0
Stratos,Dances with the Dragons,0
Kyuaran,Dame x Prince Anime Caravan,0
Shinonome,D-Frag!,0
Hiroshi's Mother,Demon King Daimao,0
Uriya Makuwa,Cute High Earth Defense Club LOVE!,0
Os,Cuticle Detective Inaba,0
Hireashi,Cute High Earth Defense Club LOVE!,0
Shigoki Munakata,Cute High Earth Defense Club LOVE! LOVE!,0
Cer,Cuticle Detective Inaba,0
Moteo Kurotori,Cute High Earth Defense Club LOVE!,0
Tomaru Tokiwa,Cute High Earth Defense Club LOVE! LOVE!,0
Yuki Minagawa,City Hunter,0
Taiju Unazuki,Cute High Earth Defense Club Happy Kiss!,0
Nanao Wakura,Cute High Earth Defense Club Happy Kiss!,0
King Kamopapa,Cute High Earth Defense Club Happy Kiss!,0
Natalie,Cross Ange: Rondo of Angels and Dragons,0
Yuu Karasawa,Clockwork Planet,0
Etty,Code: Realize ~Guardian of Rebirth~,0
Kakeru's Mother,Cross Fight B-Daman,0
Sougo Amagi,Comet Lucifer,0
Coco Reeve,Cross Ange: Rondo of Angels and Dragons,0
Kouki Shiroyama,Chihayafuru 2,0
Atsuko Kawada,City Hunter,0
Christie Yamauchi,Circlet Princess,0
Alshera Almonis,Chrome Shelled Regios,0
Keiichi Takemura,Chihayafuru,0
Announcer,Circlet Princess,0
Yoshiko Kouenji,City Hunter,0
Shinobu's Grandmother,Chihayafuru,0
Utako's Grandfather,City Hunter,0
Ruri Hanamoto,Chihayafuru,0
Minako Kouenji,City Hunter,0
Shinji's Uncle,City Hunter,0
Midori Ohara,City Hunter,0
Kaneda,City Hunter,0
Jingi Makoto,City Hunter,0
Kenjirou Mori,Chihayafuru 2,0
Michiru Horikawa,Chihayafuru,0
Yotsuya,City Hunter,0
Yukari Nishida,Chihayafuru,0
Hayashida,Chihayafuru 2,0
Haruto Tashiro,Chihayafuru 2,0
Emi Mayama,Chihayafuru 2,0
Ayane Oooka,Chihayafuru 2,0
Haruka Inokuma,Chihayafuru 3,0
Shogo,City Hunter,0
Yuu,Chihayafuru,0
Eru Nakagami,Cardfight!! Vanguard: Legion Mate,0
Akari Yotsue,Cardfight!! Vanguard: Link Joker,0
Futoshi Mochida,Chihayafuru,0
Nicola,Cardfight!! Vanguard: Legion Mate,0
Hiroshi Tsuboguchi,Chihayafuru,0
Rajikku,Cardfight!! Vanguard: Asia Circuit,0
Pipe,Case File nº221: Kabukicho,0
Tsuneto Tado,Cardfight!! Vanguard G,0
Mark Whiting,Cardfight!! Vanguard,0
Harumi Minami,Cardfight!! Vanguard,0
Sub-Manager,Cardfight!! Vanguard,0
Kiriya Bidou,Cardfight!! Vanguard,0
Ali Pajeel,Cardfight!! Vanguard: Asia Circuit,0
Eliza,Beatless: Final Stage,0
Al,Cagaster of an Insect Cage,0
Eiji Saga,Cardfight!! Vanguard,0
Ayumu Mihama,Cardfight!! Vanguard,0
Kanade Jinguji,Best Student Council,0
Aya Kurihara,Boys Be...,0
Akane,Cardcaptor Sakura,0
Hanji Urabe,Captain Tsubasa (2018),0
Takuya Yokota,Boys Be...,0
Mayura Ichikawa,Best Student Council,0
Rino Rando,Best Student Council,0
Budou Umino,Business Fish,0
Keita Hashiba,BONJOUR Sweet Love Pâtisserie,0
Chiharu Reicha,Boys Be...,0
Shizuo Kasahara,Bartender,0
Kasumi,Beatless,0
Shimaoka,Bartender,0
Rei Tachibana,Cardcaptor Sakura,0
Akerin,Battle Girls: Time Paradox,0
Gouki Daimonji,Cardfight!! Vanguard,0
Tatsuya Asagiri,Brighter than the Dawning Blue,0
Yoshiko Mikami,Baka and Test - Summon the Beasts,0
Emperor,Bakumatsu,0
Tsubasa Sumisora,B-PROJECT: Kodou*Ambitious,0
Zundamaru,Bakumatsu,0
Mori Ranmaru,Bakumatsu: Crisis,0
Sana Yamabuki,BanG Dream!,0
Takeuchi,Baka and Test - Summon the Beasts,0
Zhu Xiao Bao,Bai Yao Pu,0
Masahiro Oda,Bartender,0
Okita Soji,Bakumatsu,0
Atsushi Daikoku,B-PROJECT: Kodou*Ambitious,0
Duke Beriel,Atelier Escha & Logy: Alchemists of the Dusk Sky,0
Pinan Sarawaku,Ashita no Joe 2,0
Ninomiya,B-PROJECT: Kodou*Ambitious,0
Sophie Vebelle,B-PROJECT: Kodou*Ambitious,0
Rui,Aria the Scarlet Ammo AA,0
Asmaa,Asatir: Mirai no Mukashi Banashi,0
Anzu,B-PROJECT: Kodou*Ambitious,0
Sam Iaukea,Ashita no Joe 2,0
Unpyo,Angelic Layer,0
Jing's Father,Appare-Ranman!,0
Eve,Angelic Layer,0
Karin Minazuki,Ao Oni the Animation Movie,0
Mephistopheles,Anti-Magic Academy: The 35th Test Platoon,0
Akira Yoshimizu,Anti-Magic Academy: The 35th Test Platoon,0
Dia,Angelique,0
Ahito,Aria the Origination,0
Maria Shibata,Angelic Layer,0
Tsubasa McEnzie,Angelic Layer,0
Yuko Hikawa,Angelic Layer,0
Shadow Panther,Angelic Layer,0
Kuu,Aria the Scarlet Ammo AA,0
Akiko Hoshino,Aria the Animation,0
Rosalia de Catargena,Angelique,0
Ringo's Manager,Angelic Layer,0
Natasha's Deus,Angelic Layer,0
Victor,Angelique: Shiroi Tsubasa no Memoire,0
Keisuke Hara,Aoyama Goshou Tanpenshuu,0
Jing's Mother,Appare-Ranman!,0
Eagle,Angelic Layer,0
Asami Ashikawa,Aoyama Goshou Tanpenshuu,0
Ran Sakakibara,Angel's Feather,0
Naoto Aoki,Angel's Feather,0
Sena Mizuochi,Angel's Feather,0
Nagi Uesugi,Angel's Feather,0
Announcer,Angelic Layer,0
Kai Misonou,Angel's Feather,0
Christopher Ousaka,Angel's Feather,0
Piroshiki,And you thought there is never a girl online?,0
Anri Chikura,Angel's Feather,0
Natsume,A-Girl,0
Haruna Mitsutsuka,ACTORS -Songs Connection-,0
Nanako,Amazing Nurse Nanako,0
Taikogane Sadamune,Zoku Touken Ranbu: Hanamaru,1
Michelle Tachibana,Aikatsu!,0
Aria,Amanchu!,0
Lynn Tytis,Akashic Records of Bastard Magic Instructor,0
Eleanor Chalet,Akashic Records of Bastard Magic Instructor,0
Alicia VII,Akashic Records of Bastard Magic Instructor,0
Gary,100 Sleeping Princes and the Kingdom of Dreams,0
Cecil Clayton,Akashic Records of Bastard Magic Instructor,0
Koltol Sou,After War Gundam X,0
Goshima,A-Girl,0
Enif,Ai no Kusabi,0
Mariko,A-Girl,0
Shinano Toushirou,Zoku Touken Ranbu: Hanamaru,1
Pasmi,100% Pascal-sensei (2017),0
Tokitaka Tokiwa,Ahiru no Sora,0
Mikako Minamino,AKB0048,0
Hina-chan,Ah My Buddha!!,0
Kaoru Narugo,ACTORS -Songs Connection-,0
Sengo Muramasa,Zoku Touken Ranbu: Hanamaru,1
Monoyoshi Sadamune,Zoku Touken Ranbu: Hanamaru,1
Houchou Toushirou,Zoku Touken Ranbu: Hanamaru,1
Naomi Umegae,Zettai Karen Children,1
Konnosuke,Zoku Touken Ranbu: Hanamaru,1
Juzumaru Tsunetsugu,Zoku Touken Ranbu: Hanamaru,1
Chisaki Miyazaki,Yuuna and the Haunted Hot Springs,1
Yukari Hinata,Yuyushiki,1
Ginko Yurishiro,Yurikuma Arashi,1
Victor,Yuri!!! on Ice,1
Hotaru Nowaki,Zettai Karen Children,1
Aoi Nogami,Zettai Karen Children,1
Kureha Tsubaki,Yurikuma Arashi,1
Sagiri Ameno,Yuuna and the Haunted Hot Springs,1
Yuuko Nishigori,Yuri!!! on Ice,1
Leo de la Iglesia,Yuri!!! on Ice,1
Ji Guang-Hong,Yuri!!! on Ice,1
Seung-gil Lee,Yuri!!! on Ice,1
Jean-Jacques Leroy,Yuri!!! on Ice,1
Christophe Giacometti,Yuri!!! on Ice,2
Georgi Popovich,Yuri!!! on Ice,1
Saki Kirishima,Yumekui Merry,1
Koneko,Yumeria,1
Satsuki Hanabusa,Yumeiro Pâtissière,1
Natsume Amano,Yumeiro Pâtissière,1
Maize,Yumeiro Pâtissière SP Professional,1
Mistilteinn,Yumekui Merry,1
Mint,Yumeiro Pâtissière,1
Lemon Yamagishi,Yumeiro Pâtissière,1
Iori Fujimura,Yumeiro Cast,1
Yutaro Aizawa,Yumeiro Cast,1
Gaku Sudo,Yumeiro Cast,1
Sousei Tachibana,Yumeiro Cast,1
Caramel,Yumeiro Pâtissière,1
Yu-No,YU-NO: A Girl Who Chants Love at the Bound of This World,1
Mari Tennouji,Yumeiro Pâtissière,1
Avi,Yume Oukoku to Nemureru 100 Nin no Ouji-sama: Short Stories,1
V Juri F,Yozakura Quartet: Hana no Uta,1
Tatsuya Yamashiro,Yu-Gi-Oh! Arc-V,1
Kartz,YU-NO: A Girl Who Chants Love at the Bound of This World,1
Haruto Tenjou,Yu-Gi-Oh! Zexal,1
Sawada,Yowamushi Pedal: New Generation,1
Romin Kirishima,Yu-Gi-Oh! SEVENS,1
Ra's Disciple,Yu-Gi-Oh! GX,1
Takadajou,Yowamushi Pedal: New Generation,1
Amanda,YU-NO: A Girl Who Chants Love at the Bound of This World,1
Kanna Hatano,YU-NO: A Girl Who Chants Love at the Bound of This World,1
Sarah,YU-NO: A Girl Who Chants Love at the Bound of This World,1
Anna Kouzuki,Yu-Gi-Oh! Zexal,1
